ID,Loại,"Mã sản phẩm",Tên,"Đã đăng","Nhãn nổi bật?","Hiển thị trong danh mục","Mô tả ngắn","Mô tả","Ngày bắt đầu giảm giá","Ngày kết thúc giảm giá","Trạng thái thuế","Lớp thuế","Còn hàng?",Kho,"Số lượng tồn kho ít","Cho phép đặt trước?","Bán riêng?","Cân nặng (kg)","Độ dài (cm)","Độ rộng (cm)","Chiều cao (cm)","Cho phép đánh giá của khách hàng?","Ghi chú thanh toán","Giá khuyến mãi","Giá bán thường","Danh mục","Từ khóa","Lớp giao hàng","Hình ảnh","Giới hạn tải xuống","Ngày hết hạn tải về",Gốc,"Các sản phẩm theo nhóm",Upsells,"Bán chéo","URL ngoài","Nội dung nút bấm","Vị trí","Meta: _yoast_wpseo_primary_product_cat","Meta: _yoast_wpseo_content_score","Meta: _wxr_import_user_slug","Tên thuộc tính 1","Giá trị thuộc tính 1","Thuộc tính hiển thị 1","Thuộc tính toàn cục  1","Meta: _wp_old_date"
482,simple,3616398406394,"Hotdog Pate Thịt",1,0,visible,"Hotdog Hàn Quốc là <strong>món ăn vặt ngon</strong> với phô mai chiên giòn tan hay xúc xích Hàn Quốc được áo một lớp bột và khoai tây bên ngoài, ăn kèm tương cà và sốt mayonnaise ngon lành. Cách làm hotdog phô mai Hàn Quốc với xúc xích phô mai thơm lừng, tạo nên món ăn vặt ngon khó cưỡng. thu hút mọi thành viên gia đình đấy. Chị em lưu lại cách làm hotdog Hàn Quốc này ngay nhé.","<img src=""https://banhmihanoi.net/wp-content/uploads/2019/08/hotdog-pate-thit-300x200.jpg"" />",,,taxable,,1,,,0,0,,,,,1,,,35000,"Ăn vặt",,,"https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-03.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-04.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-03.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-02.jpg",,,,,,,,,0,,60,arda,,,,,2019-09-13
484,variable,3626398486394,"Bánh Mì Cá Hộp",1,0,visible,"Món ăn cho những ngày cuối tháng đơn giản, ""nhiều đạm, ít bạc"", cho bữa sáng đầy đủ năng lượng mà vẫn ngon lành.","<img src=""https://banhmihanoi.net/wp-content/uploads/2019/08/banh-mi-ca-hop-300x300.png"" />",,,taxable,,0,,,0,0,,,,,1,,,,"Bữa sáng, Bữa tối, Bữa trưa",,,"https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-05.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-04.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-01.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-02.jpg",,,,,,,,,0,,60,arda,"kích thước gói","Nhỏ, Trung",1,1,2019-09-13
486,simple,3616398484394,"Bánh Mì Pháp Kẹp Thịt",1,0,visible,"Ăn sáng bằng bánh mì đơn điệu sẽ khiến bạn ngán ngẫm. Hãy biến tấu cho món ăn sáng quen thuộc bằng cách xào thịt băm với nấm thơm thật thơm nhé.","<img src=""https://banhmihanoi.net/wp-content/uploads/2019/08/banh-mi-kep-thit-kieu-phap-300x300.jpg"" />",,,taxable,,1,,,0,0,,,,,1,,24000,30500,"Bữa sáng, Bữa tối",,,"https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-06.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-01.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-03.jpg, https://fooddelivery.gcodemo.com/wp-content/uploads/2019/09/product-single-04.jpg",,,,,,,,,0,,60,arda,,,,,2019-09-13
1004,variation,,"Bánh mì Baguette - Trung",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,30,35,,,,,,,3616398486394,,,,,,0,,,arda,"kích thước gói",Trung,,1,
1005,variation,,"Hotdog Xúc Xích Đức - Nhỏ",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,47,50,,,,,,,3616398486393,,,,,,1,,,arda,"kích thước gói",Nhỏ,,1,
1006,variation,,"Bánh Mì Hamburger",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,64,70,,,,,,,3616398486392,,,,,,0,,,arda,"kích thước gói",,,1,
1008,variation,,"Bánh Mì Phá Lấu",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,60,65,,,,,,,3616398486344,,,,,,0,,,arda,"kích thước gói",,,1,
1009,variation,,"Bánh Mì Chà Bông",1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,50,55,,,,,,,3614398486394,,,,,,0,,,arda,"kích thước gói",,,1,
1010,variation,,"Bánh Mì Heo Quay",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,33,,,,,,,3616398456394,,,,,,0,,,arda,"kích thước gói",,,1,
1011,variation,,"Bánh Mì Mè - Trung",1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,40000,45000,,,,,,,2616398486394,,,,,,0,,,arda,"kích thước gói",Trung,,1,
1012,variation,,"Sandwich Tròn Kẹp Thịt",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,44000,50000,,,,,,,3316398486394,,,,,,0,,,arda,"kích thước gói",,,1,
1013,variation,,"Bánh Mì Cá Hộp",1,0,visible,,,,,taxable,parent,0,,,0,0,,,,,0,,42,47,,,,,,,3626398486394,,,,,,0,,,arda,"kích thước gói",,,1,
1327,variation,,"Hotdog Xúc Xích Đức - Trung",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,70,75,,,,,,,3616398486393,,,,,,0,,,,"kích thước gói",Trung,,1,
1329,variation,,"Bánh Mì Mè - Nhỏ",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,38000,40000,,,,,,,2616398486394,,,,,,0,,,,"kích thước gói",Nhỏ,,1,
